symbol,name,exchange
VWCE.DE,Vanguard FTSE All-World UCITS ETF,XETRA
IWDA.AS,iShares Core MSCI World UCITS ETF,Euronext Amsterdam
SWDA.L,iShares Core MSCI World UCITS ETF,LSE
VWRA.L,Vanguard FTSE All-World UCITS ETF,LSE
CSPX.L,iShares Core S&P 500 UCITS ETF,LSE
VUAA.L,Vanguard S&P 500 UCITS ETF,LSE
SXR8.DE,iShares Core S&P 500 UCITS ETF,XETRA
EUNL.DE,iShares Core S&P 500 UCITS ETF,XETRA
EXSA.DE,iShares STOXX Europe 600 UCITS ETF,XETRA
IMEU.AS,iShares Core MSCI Europe UCITS ETF,Euronext Amsterdam
EIMI.L,iShares Core MSCI EM IMI UCITS ETF,LSE
VFEM.L,Vanguard FTSE Emerging Markets UCITS ETF,LSE
IUSN.DE,iShares MSCI World Small Cap UCITS ETF,XETRA
AGGH.L,iShares Global Aggregate Bond UCITS ETF,LSE
IEAG.AS,iShares Core Euro Government Bond UCITS ETF,Euronext Amsterdam
IBGL.MI,iShares Euro Government Bond 7-10yr UCITS ETF,Borsa Italiana
VHYL.L,Vanguard FTSE All-World High Div Yield UCITS ETF,LSE
QDVE.DE,iShares S&P 500 Information Technology Sector UCITS ETF,XETRA
