symbol,name,sector
ASML.AS,ASML Holding NV,Technology
SAP.DE,SAP SE,Technology
SIE.DE,Siemens AG,Industrials
AIR.PA,Airbus SE,Industrials
MC.PA,LVMH Moet Hennessy Louis Vuitton,Consumer Discretionary
OR.PA,L'Oreal SA,Consumer Staples
SAN.MC,Banco Santander SA,Financials
IBE.MC,Iberdrola SA,Utilities
NESN.SW,Nestle SA,Consumer Staples
NOVO-B.CO,Novo Nordisk A/S,Health Care
RO.SW,Roche Holding AG,Health Care
BMW.DE,Bayerische Motoren Werke AG,Consumer Discretionary
VOW3.DE,Volkswagen AG,Consumer Discretionary
HSBA.L,HSBC Holdings PLC,Financials
SHEL.L,Shell PLC,Energy
BNP.PA,BNP Paribas SA,Financials
TTE.PA,TotalEnergies SE,Energy
AZN.L,AstraZeneca PLC,Health Care
ULVR.L,Unilever PLC,Consumer Staples
BP.L,BP PLC,Energy
DBK.DE,Deutsche Bank AG,Financials
ALV.DE,Allianz SE,Financials
ENR.DE,Siemens Energy AG,Industrials
ADYEN.AS,Adyen NV,Technology
ENEL.MI,Enel SpA,Utilities
UCG.MI,UniCredit SpA,Financials
NOVN.SW,Novartis AG,Health Care
ABBN.SW,ABB Ltd,Industrials
